,Description,Processor,RAM,Operating System,Storage,Display,Warranty,Price,RAM_GB,DDR_Version,Processor Name,Processor Type,Generation,Operating System Type,Storage_GB,Disk Drive,Size(Inches),Company,Graphic Card,Touchscreen
54,Asus VivoBook Flip 14 Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) TP412FA-EC371TS 2 in 1 Lapt...,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,"₹51,990",4,4,Intel,i3,10,Windows,1000+128,Both,14,Asus,No,Yes
55,Asus ZenBook Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) UX430UA-GV372T Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,Windows,256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹54,990",8,3,Intel,i5,8,Windows,1000+256,Both,14,Asus,No,No
56,Acer NITRO 5 Core i7 9th Gen - (8 GB/2 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce ...,Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM,Windows,2 TB HDD|256 GB SSD,43.94 cm (17.3 inch) Display,1 Year International Warranty,"₹96,990",8,4,Intel,i7,9,Windows,1000+256,Both,17.3,Acer,Yes,No
57,Asus Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) X409JA-EK591T Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹56,990",8,4,Intel,i5,10,Windows,256,SSD,14,Asus,No,No
58,Lenovo Ideapad S145 Core i3 8th Gen - (4 GB/1 TB HDD/DOS) S145-15IKB Laptop,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,DOS,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹29,990",4,4,Intel,i3,8,DOS,512,SSD,15.6,Lenovo,No,No
59,MarQ by Flipkart Falkon Aerbook Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) MAi5882SWT Thin an...,8th Gen Intel Core i5 for superior computing,8GB RAM & 256GB SSD for superfast computing,Windows,256 GB SSD,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty Commencing from the Date of Purchase,"₹41,990",8,Not Mentioned,Intel,i5,Not Mentioned,Windows,512,SSD,13.3,MarQ,No,No
60,Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) S430FA-EB031T Thin...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,"₹53,990",8,4,Intel,i5,8,Windows,1000+256,Both,14,Asus,No,No
61,Apple MacBook Pro Core i7 9th Gen - (16 GB/512 GB SSD/Mac OS Catalina/4 GB Graphics) MVVJ2HN/A,Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM,Mac,512 GB SSD,40.64 cm (16 inch) Display,1 Year Onsite Warranty,"₹1,99,900",16,4,Intel,i7,9,Mac,512,SSD,16,Apple,Yes,No
62,Acer Swift 5 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) SF514-52T Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,Windows,256 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year International Travelers Warranty (ITW),"₹64,990",8,3,Intel,i5,8,Windows,1000+256,Both,14,Acer,No,Yes
63,HP Omen Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 Ti)...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹75,990",8,4,AMD,Ryzen 5,Not Mentioned,Windows,1000+256,Both,15.6,HP,Yes,No
64,HP 15s Ryzen 7 Quad Core - (8 GB/512 GB SSD/Windows 10 Home) 15s-eq0132AU Thin and Light Laptop,AMD Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹57,990",8,4,AMD,Ryzen 7,Not Mentioned,Windows,1000+256,Both,15.6,HP,No,No
65,Acer Swift 3 Core i3 8th Gen - (4 GB/256 GB SSD/Windows 10 Home) SF313-51-30EP Thin and Light Laptop,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,Windows,256 GB SSD,33.78 cm (13.3 inch) Display,1 Year International Travelers Warranty (ITW),"₹45,990",4,4,Intel,i3,8,Windows,1000,HDD,13.3,Acer,No,No
66,Microsoft Surface Pro X SQ1 Octa Core - (8 GB/128 GB SSD/Windows 10 Home) M1876 Laptop,Microsoft SQ1 Octa Core Processor,8 GB LPDDR4X RAM,Windows,128 GB SSD,33.02 cm (13 inch) Touchscreen Display,1 Year Limited Hardware Warranty,"₹96,657",8,4,Microsoft,SQ1,Not Mentioned,Windows,512,SSD,13,Microsoft,No,Yes
67,Apple MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/1 TB SSD/Mac OS Catalina) MWP52HN/A,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,Mac,1 TB SSD,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,"₹1,94,900",16,4,Intel,i5,10,Mac,512,SSD,13,Apple,No,No
68,HP Pavilion 15-EC Ryzen 5 Quad Core - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/3 GB Graphics/NVIDIA G...,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,Windows,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,"₹51,990",8,4,AMD,Ryzen 5,Not Mentioned,Windows,1000,HDD,15.6,HP,Yes,No
69,HP 14s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-cs3010TU Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,"HP Audio Switch, HP Support Assistant, HP Documentation, HP Jumpstart, HP BIOS Recovery, HP Connection Optimizer, HP 3D DriveGuard (HDD Only), Dropbox",35.56 cm (14 inch) Display,1 Year Onsite Warranty,"₹52,990",8,4,Intel,i5,10,Windows,512,SSD,14,HP,No,No
