,Description,Processor,RAM,Operating System,Storage,Display,Warranty,Price,RAM_GB,DDR_Version,Processor Name,Processor Type,Generation,Operating System Type,Storage_GB,Disk Drive,Size(Inches),Company,Graphic Card,Touchscreen,SSD,HDD
32,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,59990.0,8,4,Intel,i5,10,Windows,1000+256,Both,14.0,Asus,Yes,No,256 ,1000
33,Asus ZenBook Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) UX430UA-GV573T Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,Windows,256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,47990.0,8,3,Intel,i5,8,Windows,256,SSD,14.0,Asus,No,No,256 ,0
34,Apple MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/512 GB SSD/Mac OS Catalina) MWP42HN/A,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,Mac,512 GB SSD,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,174900.0,16,4,Intel,i5,10,Mac,512,SSD,13.0,Apple,No,No,512 ,0
35,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) X412FA-EK230T Thin and Light Lapt...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,54990.0,8,4,Intel,i5,8,Windows,512,SSD,14.0,Asus,No,No,512 ,0
36,Asus VivoBook 14 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X412FA-EK512T Thin and ...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,55990.0,8,4,Intel,i5,10,Windows,1000+256,Both,14.0,Asus,No,No,256 ,1000
37,Acer Aspire 7 Ryzen 7 Quad Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 16...,AMD Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),61990.0,8,4,AMD,Ryzen 7,0,Windows,512,SSD,15.6,Acer,Yes,No,512 ,0
38,Lenovo Ideapad S340 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 81VV ideapad S340 -1...,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,56990.0,8,4,Intel,i5,10,Windows,1000+256,Both,14.0,Lenovo,No,No,256 ,1000
39,Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,82990.0,8,4,Intel,i7,10,Windows,1000+256,Both,15.6,Lenovo,Yes,No,256 ,1000
40,Dell Inspiron Core i3 10th Gen - (4 GB/1 TB HDD/256 GB SSD/Windows 10 Home) Inspiron 5491 2 in 1 Lapto...,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Touchscreen Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",59437.0,4,4,Intel,i3,10,Windows,1000+256,Both,14.0,Dell,No,Yes,256 ,1000
41,Asus VivoBook 15 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) X543UB-DM581T Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Limited International Hardware Warranty,44760.0,8,4,Intel,i5,8,Windows,1000,HDD,15.6,Asus,Yes,No,1 TB HDD,0
42,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK178T Thin ...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,55990.0,8,4,Intel,i5,8,Windows,512,SSD,14.0,Asus,Yes,No,512 ,0
43,MSI GF65 Thin Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce GTX 166...,Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,2 Year Carry In Warranty,99990.0,16,4,Intel,i7,9,Windows,512,SSD,15.6,MSI,Yes,No,512 ,0
44,Lenovo Ideapad S145 Core i3 8th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IKB Laptop,Intel Core i3 Processor (8th Gen),8 GB DDR4 RAM,Windows,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,45990.0,8,4,Intel,i3,8,Windows,1000,HDD,15.6,Lenovo,No,No,1 TB HDD,0
45,Asus VivoBook Flip 14 Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) TP412FA-EC371TS 2 in 1 Lapt...,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,51990.0,4,4,Intel,i3,10,Windows,512,SSD,14.0,Asus,No,Yes,512 ,0
46,HP 15 Ryzen 3 Dual Core - (4 GB/1 TB HDD/Windows 10 Home) 15-db 1059AU Laptop,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,Windows,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,33250.0,4,4,AMD,Ryzen 3,0,Windows,1000,HDD,15.6,HP,No,No,1 TB HDD,0
47,Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A A1466,Intel Core i5 Processor (5th Gen),8 GB DDR3 RAM,Mac,128 GB SSD,33.78 cm (13.3 inch) Display,1 Year Carry In Warranty,74397.0,8,3,Intel,i5,5,Mac,128,SSD,13.3,Apple,No,No,128 ,0
48,Asus VivoBook 14 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) X412FJ-EK176T Thin ...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,55990.0,8,4,Intel,i5,8,Windows,512,SSD,14.0,Asus,Yes,No,512 ,0
49,HP 15s Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-du2078TU Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,52990.0,8,4,Intel,i5,10,Windows,1000+256,Both,15.6,HP,No,No,512 ,0
50,Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,82990.0,8,4,Intel,i7,10,Windows,512,SSD,15.6,Lenovo,Yes,No,256 ,1000
51,HP Spectre x360 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 13-aw0204TU 2 in 1 Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,102990.0,8,4,Intel,i5,10,Windows,1000+256,Both,13.3,HP,No,Yes,512 ,0
52,Microsoft Surface Laptop 3 Core i5 10th Gen - (8 GB/128 GB SSD/Windows 10 Home) 1867 Laptop,Intel Core i5 Processor (10th Gen),8 GB LPDDR4X RAM,Windows,128 GB SSD,34.29 cm (13.5 inch) Touchscreen Display,1 Year Limited Hardware Warranty,96657.0,8,4,Intel,i5,10,Windows,1000+256,Both,13.0,Microsoft,No,Yes,128 ,0
53,HP 14s Core i7 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s-dr1006TU Thin and Light Laptop,Intel Core i7 Processor (10th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,72990.0,8,4,Intel,i7,10,Windows,512,SSD,14.0,HP,No,No,512 ,0
54,Asus VivoBook Flip 14 Core i3 10th Gen - (4 GB/512 GB SSD/Windows 10 Home) TP412FA-EC371TS 2 in 1 Lapt...,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,51990.0,4,4,Intel,i3,10,Windows,1000+128,Both,14.0,Asus,No,Yes,512 ,0
55,Asus ZenBook Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) UX430UA-GV372T Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,Windows,256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,54990.0,8,3,Intel,i5,8,Windows,1000+256,Both,14.0,Asus,No,No,256 ,0
56,Acer NITRO 5 Core i7 9th Gen - (8 GB/2 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce ...,Intel Core i7 Processor (9th Gen),8 GB DDR4 RAM,Windows,2 TB HDD|256 GB SSD,43.94 cm (17.3 inch) Display,1 Year International Warranty,96990.0,8,4,Intel,i7,9,Windows,1000+256,Both,17.3,Acer,Yes,No,256 ,2000
57,Asus Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) X409JA-EK591T Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows,512 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty,56990.0,8,4,Intel,i5,10,Windows,256,SSD,14.0,Asus,No,No,512 ,0
58,Lenovo Ideapad S145 Core i3 8th Gen - (4 GB/1 TB HDD/DOS) S145-15IKB Laptop,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,DOS,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,29990.0,4,4,Intel,i3,8,DOS,512,SSD,15.6,Lenovo,No,No,1 TB HDD,0
59,MarQ by Flipkart Falkon Aerbook Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) MAi5882SWT Thin an...,8th Gen Intel Core i5 for superior computing,8 GB RAM,Windows,256 GB SSD,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty Commencing from the Date of Purchase,41990.0,8,0,Intel,i5,0,Windows,512,SSD,13.3,MarQ,No,No,256 ,0
60,Asus VivoBook S Series Core i5 8th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) S430FA-EB031T Thin...,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,Windows,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,1 Year Limited International Hardware Warranty,53990.0,8,4,Intel,i5,8,Windows,1000+256,Both,14.0,Asus,No,No,256 ,1000
61,Apple MacBook Pro Core i7 9th Gen - (16 GB/512 GB SSD/Mac OS Catalina/4 GB Graphics) MVVJ2HN/A,Intel Core i7 Processor (9th Gen),16 GB DDR4 RAM,Mac,512 GB SSD,40.64 cm (16 inch) Display,1 Year Onsite Warranty,199900.0,16,4,Intel,i7,9,Mac,512,SSD,16.0,Apple,Yes,No,512 ,0
62,Acer Swift 5 Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) SF514-52T Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR3 RAM,Windows,256 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year International Travelers Warranty (ITW),64990.0,8,3,Intel,i5,8,Windows,1000+256,Both,14.0,Acer,No,Yes,256 ,0
63,HP Omen Ryzen 5 Hexa Core - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650 Ti)...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,75990.0,8,4,AMD,Ryzen 5,0,Windows,1000+256,Both,15.6,HP,Yes,No,512 ,0
64,HP 15s Ryzen 7 Quad Core - (8 GB/512 GB SSD/Windows 10 Home) 15s-eq0132AU Thin and Light Laptop,AMD Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,Windows,512 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,57990.0,8,4,AMD,Ryzen 7,0,Windows,1000+256,Both,15.6,HP,No,No,512 ,0
65,Acer Swift 3 Core i3 8th Gen - (4 GB/256 GB SSD/Windows 10 Home) SF313-51-30EP Thin and Light Laptop,Intel Core i3 Processor (8th Gen),4 GB DDR4 RAM,Windows,256 GB SSD,33.78 cm (13.3 inch) Display,1 Year International Travelers Warranty (ITW),45990.0,4,4,Intel,i3,8,Windows,1000,HDD,13.3,Acer,No,No,256 ,0
66,Microsoft Surface Pro X SQ1 Octa Core - (8 GB/128 GB SSD/Windows 10 Home) M1876 Laptop,Microsoft SQ1 Octa Core Processor,8 GB LPDDR4X RAM,Windows,128 GB SSD,33.02 cm (13 inch) Touchscreen Display,1 Year Limited Hardware Warranty,96657.0,8,4,Microsoft,SQ1,0,Windows,512,SSD,13.0,Microsoft,No,Yes,128 ,0
67,Apple MacBook Pro with Touch Bar Core i5 10th Gen - (16 GB/1 TB SSD/Mac OS Catalina) MWP52HN/A,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,Mac,1 TB SSD,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,194900.0,16,4,Intel,i5,10,Mac,512,SSD,13.0,Apple,No,No,1 ,0
